player_name,woba,xwoba,wOBA_minus_xwOBA,outlier,OPS,Bat Speed,Ideal Attack Angle%,LA Sweet Spot%,Barrel%,Whiff%,Swing%
"Bader, Harrison",,,-0.034,False,0.556,72.9,49.5,32.9,8.2,32.0,53.4
"Gasper, Mickey",,,-0.003,False,0.613,72.0,60.2,27.3,4.5,18.5,41.5
"Kwan, Steven",,,-0.024,False,0.606,62.8,33.3,37.6,0.4,8.5,36.0
"Langeliers, Shea",,,-0.012,False,0.818,75.2,62.2,37.2,14.6,27.3,50.4
"Bazzana, Travis",,,0.024,False,0.739,69.8,48.6,29.1,4.5,26.5,44.6
"Correa, Carlos",,,-0.017,False,0.787,73.4,40.1,36.1,10.3,22.9,45.0
"Alexander, Blaze",,,-0.006,False,0.774,72.5,49.9,41.2,6.8,25.5,56.0
"Feduccia, Hunter",,,-0.023,False,0.654,70.8,55.1,37.2,9.0,23.9,44.5
"Acuña Jr., Ronald",,,-0.027,False,0.794,76.0,53.8,32.4,13.1,29.3,45.4
"Caballero, José",,,0.034,False,0.698,68.9,52.1,30.3,4.0,27.4,50.2
"Myers, Dane",,,-0.021,False,0.743,71.9,53.3,41.0,7.7,16.9,39.0
"Montgomery, Braden",,,-0.009,False,0.674,69.9,48.5,30.6,4.2,26.0,52.1
"Alvarez, Francisco",,,-0.012,False,0.736,74.2,58.4,31.3,16.0,32.9,47.6
"Story, Trevor",,,-0.006,False,0.547,71.1,51.1,30.0,3.6,31.7,55.4
"Langford, Wyatt",,,0.051,False,0.811,72.9,51.5,29.1,7.9,22.8,48.7
"Harper, Bryce",,,-0.022,False,0.87,74.4,47.1,36.9,11.8,30.8,50.8
"Dingler, Dillon",,,-0.02,False,0.841,72.0,56.0,41.3,11.8,21.8,48.6
"Young, Jacob",,,-0.013,False,0.647,69.4,63.7,34.6,6.2,20.3,43.5
"McMahon, Ryan",,,-0.022,False,0.646,74.7,52.6,32.6,10.8,31.6,46.6
"Matthews, Brice",,,-0.001,False,0.59,73.0,53.2,30.7,8.8,35.9,46.3
"Betts, Mookie",,,-0.025,False,0.722,69.5,56.1,42.5,8.5,12.6,41.8
"Clement, Ernie",,,0.049,False,0.748,67.6,63.4,33.5,2.2,16.1,57.6
"Gonzales, Nick",,,0.013,False,0.765,70.5,49.9,33.1,2.7,23.9,53.0
"Dubón, Mauricio",,,0.01,False,0.752,68.9,38.6,36.8,4.7,16.7,51.5
"Crews, Dylan",,,-0.041,False,0.648,73.6,43.5,32.3,8.7,28.8,53.7
"Melendez, MJ",,,0.021,False,0.665,74.0,58.4,29.2,11.1,34.5,46.7
"Muncy, Max",,,0.007,False,0.857,71.5,53.7,34.8,13.8,27.6,44.1
"Canzone, Dominic",,,-0.002,False,0.884,74.8,55.7,37.1,15.9,28.6,46.3
"Jeffers, Ryan",,,0.018,False,0.949,73.4,51.9,37.6,15.8,16.5,38.4
"Varsho, Daulton",,,0.017,False,0.713,72.8,55.5,34.9,6.2,21.2,52.8
"Volpe, Anthony",,,0.005,False,0.664,71.7,60.3,31.6,4.1,25.5,44.2
"Manzardo, Kyle",,,0.0,False,0.677,69.9,51.4,32.5,10.8,30.7,45.9
"Williamson, Ben",,,-0.012,False,0.628,69.6,35.7,33.3,2.0,16.9,42.0
"Karros, Kyle",,,0.008,False,0.795,70.5,43.4,41.3,8.5,24.7,44.1
"Wetherholt, JJ",,,-0.011,False,0.773,72.4,63.5,36.9,7.2,20.1,43.7
"Walker, Christian",,,0.034,False,0.791,74.3,46.8,31.6,10.3,28.8,49.8
"Jensen, Carter",,,0.032,False,0.75,73.9,47.1,32.7,9.2,29.9,44.1
"Lowe, Josh",,,-0.014,False,0.611,74.1,48.2,28.0,8.5,29.2,57.6
"Eldridge, Bryce",,,-0.015,False,0.844,73.7,45.2,32.6,13.2,23.7,43.0
"Loftin, Nick",,,0.019,False,0.774,69.1,55.8,36.7,5.4,14.8,40.3
"Walker, Jordan",,,0.006,False,0.893,79.2,54.7,35.6,14.6,31.1,51.8
"Marte, Ketel",,,-0.03,False,0.796,74.6,58.2,33.8,11.1,20.3,48.2
"Burleson, Alec",,,-0.03,False,0.817,73.2,54.2,33.1,11.0,20.9,51.5
"Domínguez, Jasson",,,0.004,False,0.676,74.1,52.7,30.1,4.3,26.9,53.6
"Meckler, Wade",,,0.025,False,0.767,68.5,45.3,42.7,5.6,25.5,45.4
"Vientos, Mark",,,-0.03,False,0.644,73.3,60.7,32.0,10.1,31.5,54.5
"Pérez, Wenceel",,,-0.01,False,0.594,71.4,49.8,23.5,7.6,18.2,47.9
"Smith, Dominic",,,-0.008,False,0.709,68.7,50.7,33.5,6.2,20.3,50.1
"Lee, Brooks",,,0.043,False,0.731,70.2,56.4,33.0,4.0,21.0,52.2
"Ballesteros, Moisés",,,-0.007,False,0.688,73.3,59.2,33.6,9.1,26.9,49.0
"Kurtz, Nick",,,0.01,False,0.902,78.3,50.4,38.7,18.1,36.8,42.8
"Seager, Corey",,,-0.043,False,0.666,71.8,59.4,33.1,15.4,34.9,50.4
"Shaw, Matt",,,0.023,False,0.737,69.0,64.8,33.3,4.8,19.7,47.4
"Adell, Jo",,,-0.019,False,0.704,77.3,47.7,33.5,8.7,26.4,55.4
"Gorman, Nolan",,,-0.012,False,0.597,73.1,48.1,34.6,9.2,38.9,49.9
"Diaz, Yainer",,,0.001,False,0.656,72.5,58.7,25.8,5.3,22.5,56.0
"Julien, Edouard",,,-0.042,False,0.653,71.5,39.8,43.8,6.9,23.3,40.7
"Hoerner, Nico",,,-0.028,False,0.649,68.4,48.2,35.7,0.9,11.4,44.0
"Perdomo, Geraldo",,,-0.003,False,0.718,67.0,54.2,33.7,3.3,12.2,39.8
"Waldschmidt, Ryan",,,0.01,False,0.671,72.4,42.9,52.8,8.3,33.7,43.7
"Duran, Jarren",,,-0.022,False,0.622,75.1,45.1,32.3,11.3,35.4,49.6
"Lowe, Nathaniel",,,-0.006,False,0.78,74.5,55.8,40.3,10.9,22.4,44.5
"Pagés, Pedro",,,-0.013,False,0.59,72.5,46.7,31.5,5.5,28.0,51.2
"Rushing, Dalton",,,0.02,False,0.839,72.4,54.7,36.3,12.1,30.2,50.4
"Marsh, Brandon",,,0.036,False,0.844,71.5,43.4,45.2,9.6,25.8,53.5
"Mayo, Coby",,,-0.006,False,0.645,75.6,49.1,26.1,9.9,30.8,46.4
"Neto, Zach",,,0.029,False,0.787,71.0,37.3,34.3,13.5,32.2,50.7
"Garver, Mitch",,,-0.006,False,0.65,72.5,65.5,26.2,7.7,34.6,40.9
"Sosa, Edmundo",,,-0.069,False,0.628,72.2,61.3,34.5,7.8,24.9,61.6
"Baty, Brett",,,-0.029,False,0.6,74.8,45.7,36.0,8.1,28.9,47.9
