player_name,woba,xwoba,wOBA_minus_xwOBA,outlier,OPS,Bat Speed,Ideal Attack Angle%,LA Sweet Spot%,Barrel%,Whiff%,Swing%
"Kwan, Steven",,,-0.024,False,0.606,62.8,33.3,37.6,0.4,8.5,36.0
"Langeliers, Shea",,,-0.012,False,0.818,75.2,62.2,37.2,14.6,27.3,50.4
"Harper, Bryce",,,-0.022,False,0.87,74.4,47.1,36.9,11.8,30.8,50.8
"Dingler, Dillon",,,-0.02,False,0.841,72.0,56.0,41.3,11.8,21.8,48.6
"Clement, Ernie",,,0.049,True,0.748,67.6,63.4,33.5,2.2,16.1,57.6
"Gonzales, Nick",,,0.013,False,0.765,70.5,49.9,33.1,2.7,23.9,53.0
"Dubón, Mauricio",,,0.01,False,0.752,68.9,38.6,36.8,4.7,16.7,51.5
"Muncy, Max",,,0.007,False,0.857,71.5,53.7,34.8,13.8,27.6,44.1
"Varsho, Daulton",,,0.017,False,0.713,72.8,55.5,34.9,6.2,21.2,52.8
"Manzardo, Kyle",,,0.0,False,0.677,69.9,51.4,32.5,10.8,30.7,45.9
"Karros, Kyle",,,0.008,False,0.795,70.5,43.4,41.3,8.5,24.7,44.1
"Wetherholt, JJ",,,-0.011,False,0.773,72.4,63.5,36.9,7.2,20.1,43.7
"Walker, Christian",,,0.034,False,0.791,74.3,46.8,31.6,10.3,28.8,49.8
"Jensen, Carter",,,0.032,False,0.75,73.9,47.1,32.7,9.2,29.9,44.1
"Walker, Jordan",,,0.006,False,0.893,79.2,54.7,35.6,14.6,31.1,51.8
"Marte, Ketel",,,-0.03,False,0.796,74.6,58.2,33.8,11.1,20.3,48.2
"Burleson, Alec",,,-0.03,False,0.817,73.2,54.2,33.1,11.0,20.9,51.5
"Lee, Brooks",,,0.043,True,0.731,70.2,56.4,33.0,4.0,21.0,52.2
"Kurtz, Nick",,,0.01,False,0.902,78.3,50.4,38.7,18.1,36.8,42.8
"Adell, Jo",,,-0.019,False,0.704,77.3,47.7,33.5,8.7,26.4,55.4
"Hoerner, Nico",,,-0.028,False,0.649,68.4,48.2,35.7,0.9,11.4,44.0
"Perdomo, Geraldo",,,-0.003,False,0.718,67.0,54.2,33.7,3.3,12.2,39.8
"Duran, Jarren",,,-0.022,False,0.622,75.1,45.1,32.3,11.3,35.4,49.6
"Marsh, Brandon",,,0.036,False,0.844,71.5,43.4,45.2,9.6,25.8,53.5
"Neto, Zach",,,0.029,False,0.787,71.0,37.3,34.3,13.5,32.2,50.7
"Baty, Brett",,,-0.029,False,0.6,74.8,45.7,36.0,8.1,28.9,47.9
"Rumfield, TJ",,,0.054,True,0.856,68.9,46.4,37.3,5.5,20.6,49.8
"Stowers, Kyle",,,0.007,False,0.794,75.1,53.3,35.5,12.4,35.6,52.7
"O'Hearn, Ryan",,,0.031,False,0.836,70.9,45.4,35.4,7.9,21.5,46.7
"DeLauter, Chase",,,0.007,False,0.781,71.5,44.5,34.1,5.7,15.7,43.3
"Turang, Brice",,,0.012,False,0.823,70.1,49.3,38.2,8.1,21.8,42.6
"Crow-Armstrong, Pete",,,0.033,False,0.93,74.8,46.7,36.7,10.9,28.5,50.6
"Clemens, Kody",,,0.006,False,0.812,71.9,62.4,36.0,13.2,25.4,49.2
"Bauers, Jake",,,0.017,False,0.873,76.8,49.5,36.1,13.5,26.8,41.3
"Soto, Juan",,,-0.015,False,0.993,71.9,64.4,31.9,15.2,19.3,39.0
"Chisholm Jr., Jazz",,,0.014,False,0.693,73.0,60.8,27.8,8.7,31.4,44.3
"Montgomery, Colson",,,0.009,False,0.784,76.2,51.7,35.0,14.1,36.9,52.6
"Olson, Matt",,,0.014,False,0.888,75.0,52.5,31.3,14.2,24.1,45.6
"Lowe, Brandon",,,0.003,False,0.805,73.7,50.1,35.7,12.4,34.6,50.6
"Buxton, Byron",,,0.031,False,0.903,74.2,57.5,32.9,18.7,30.9,52.7
"Riley, Austin",,,-0.01,False,0.616,75.7,46.4,30.7,10.2,32.6,47.8
"Alonso, Pete",,,-0.025,False,0.812,74.8,54.8,33.7,12.5,27.5,44.0
"Schmitt, Casey",,,-0.018,False,0.799,72.4,48.8,40.7,12.5,21.8,54.8
"Collins, Isaac",,,0.003,False,0.693,73.7,37.5,31.3,5.7,21.8,39.7
"Freeman, Freddie",,,-0.004,False,0.881,70.5,42.6,36.3,10.9,21.1,50.0
"Rice, Ben",,,0.027,False,0.956,72.5,54.6,39.0,14.9,24.7,43.3
"Carroll, Corbin",,,0.018,False,0.849,75.6,67.3,29.4,11.5,29.1,45.9
"Turner, Trea",,,-0.002,False,0.648,71.6,65.6,32.4,6.3,27.4,51.4
"Okamoto, Kazuma",,,0.008,False,0.776,73.2,57.5,33.2,14.3,33.6,45.9
"Young, Cole",,,-0.022,False,0.701,71.7,50.4,35.2,5.1,20.0,48.2
"Bichette, Bo",,,-0.032,False,0.676,70.1,27.7,36.2,7.1,18.9,53.3
"Contreras, William",,,-0.012,False,0.74,73.2,59.2,30.7,7.2,18.9,47.0
"Aranda, Jonathan",,,-0.004,False,0.835,70.0,52.6,38.3,10.5,21.9,44.9
